race_id	date	race_type	around	course_len	weather	ground_state	race_class	place
202106020507	2021-03-13	1	0.0	2000	3.0	3	2	6
202106020508	2021-03-13	0	0.0	1200	3.0	3	2	6
202106020509	2021-03-13	0	0.0	1800	3.0	3	5	6
202106020510	2021-03-13	1	0.0	1200	3.0	3	4	6
202106020511	2021-03-13	1	0.0	1800	3.0	3	6	6
202106020512	2021-03-13	1	0.0	1200	3.0	3	3	6
202106020601	2021-03-14	0	0.0	1800	0.0	3	1	6
202106020602	2021-03-14	0	0.0	1200	0.0	3	1	6
202106020603	2021-03-14	0	0.0	1800	0.0	3	1	6
202106020604	2021-03-14	3		2880	0.0	2	1	6
202106020605	2021-03-14	1	0.0	2000	0.0	2	1	6
202106020606	2021-03-14	0	0.0	1800	0.0	2	2	6
202106020607	2021-03-14	1	0.0	1200	0.0	2	2	6
202106020608	2021-03-14	0	0.0	2400	0.0	2	2	6
202106020609	2021-03-14	1	0.0	1800	0.0	2	5	6
202106020610	2021-03-14	1	0.0	1600	0.0	2	5	6
202106020611	2021-03-14	1	0.0	1600	0.0	2	5	6
202106020612	2021-03-14	0	0.0	1200	0.0	2	2	6
202106020701	2021-03-20	0	0.0	1200	1.0	0	1	6
202106020702	2021-03-20	0	0.0	1800	1.0	0	1	6
202106020703	2021-03-20	0	0.0	1200	0.0	0	1	6
202106020704	2021-03-20	1	0.0	2000	0.0	0	1	6
202106020705	2021-03-20	1	0.0	1600	0.0	0	1	6
202106020706	2021-03-20	1	0.0	1600	0.0	0	2	6
202106020707	2021-03-20	0	0.0	1800	1.0	0	2	6
202106020708	2021-03-20	3		3350	1.0	0	5	6
202106020709	2021-03-20	1	0.0	2000	1.0	0	5	6
202106020710	2021-03-20	0	0.0	1800	1.0	0	4	6
202106020711	2021-03-20	1	0.0	1800	1.0	0	6	6
202106020712	2021-03-20	0	0.0	1200	1.0	0	3	6
202106020801	2021-03-21	0	0.0	1800	3.0	1	1	6
202106020802	2021-03-21	0	0.0	1200	3.0	1	1	6
202106020803	2021-03-21	0	0.0	1800	3.0	1	1	6
202106020804	2021-03-21	0	0.0	1200	3.0	1	2	6
202106020805	2021-03-21	1	0.0	2200	3.0	2	1	6
202106020806	2021-03-21	1	0.0	2000	3.0	2	2	6
202106020807	2021-03-21	0	0.0	1200	3.0	2	2	6
202106020808	2021-03-21	1	0.0	1600	3.0	2	3	6
202106020809	2021-03-21	1	0.0	1800	3.0	2	4	6
202106020810	2021-03-21	0	0.0	1200	3.0	2	5	6
202106020811	2021-03-21	1	0.0	1800	3.0	2	7	6
202106020812	2021-03-21	0	0.0	2400	3.0	2	3	6
202106030101	2021-03-27	0	0.0	1800	0.0	0	1	6
202106030102	2021-03-27	0	0.0	1200	0.0	0	1	6
202106030103	2021-03-27	0	0.0	1800	0.0	0	1	6
202106030104	2021-03-27	1	0.0	1600	0.0	0	1	6
202106030105	2021-03-27	1	0.0	1200	0.0	0	2	6
202106030106	2021-03-27	1	0.0	1800	0.0	0	2	6
202106030107	2021-03-27	0	0.0	1800	0.0	0	2	6
202106030108	2021-03-27	0	0.0	1200	0.0	0	2	6
202106030109	2021-03-27	0	0.0	1200	0.0	0	4	6
202106030110	2021-03-27	0	0.0	1800	0.0	0	5	6
202106030111	2021-03-27	1	0.0	2500	0.0	0	7	6
202106030112	2021-03-27	1	0.0	1200	0.0	0	3	6
202106030201	2021-03-28	0	0.0	1200	1.0	0	1	6
202106030202	2021-03-28	0	0.0	1800	1.0	0	1	6
202106030203	2021-03-28	0	0.0	1200	1.0	0	1	6
202106030204	2021-03-28	3		2880	3.0	0	1	6
